Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,ProlificID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Sum_SIAS,COMP_1,secondchance_comp1,Incorrect_1,COMP_2,secondchance_comp2,Incorrect_2,Incorrect_any,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,SOCIAL_5,SOCIAL_6,SOCIAL_7,SOCIAL_8,SOCIAL_9,SOCIAL_10,SOCIAL_11,Sum_risk,Threshold_social,Intransitive,Age,Gender,Country_home,City_home,PROLIFIC_PID
04/06/2020 13:02,04/06/2020 13:10,IP Address,100,451,TRUE,04/06/2020 13:10,R_2YYCgy0g0GbXmuo,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5db9870052e7df000a11af99,2,2,1,1,3,0,2,1,4,1,4,1,0,0,3,1,1,2,1,2,32,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,0,20,Male,No,No,5db9870052e7df000a11af99
04/06/2020 13:03,04/06/2020 13:10,IP Address,100,421,TRUE,04/06/2020 13:10,R_1ge9FiOlgP5fiaj,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5bab002f21db560001c44556,3,3,4,2,3,2,1,3,3,2,3,3,3,1,3,3,3,2,2,3,52,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,1,1,1,1,1,1,6,6,0,32,Female,Yes,Yes,5bab002f21db560001c44556
04/06/2020 13:05,04/06/2020 13:11,IP Address,100,351,TRUE,04/06/2020 13:11,R_3HRnAETdXkNODX5,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5dcc845678cda09214282fb9,3,4,4,2,3,2,1,2,2,1,2,3,2,1,1,2,2,3,2,2,44,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,31,Female,Yes,Yes,5dcc845678cda09214282fb9
04/06/2020 13:02,04/06/2020 13:11,IP Address,100,550,TRUE,04/06/2020 13:11,R_1rBaXh34C6dJEPx,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ac94cbe1667e40001d88c70,1,0,1,0,2,1,2,1,3,2,2,3,3,2,0,2,3,1,1,1,31,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,0,50,Female,Yes,Yes,5ac94cbe1667e40001d88c70
04/06/2020 13:04,04/06/2020 13:11,IP Address,100,397,TRUE,04/06/2020 13:11,R_4GWjhzWNRqjlOaR,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e63d41865e2a61530a6f4cc,1,0,1,0,2,0,0,1,1,0,3,0,1,0,0,1,0,0,1,1,13,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Male,No,No,5e63d41865e2a61530a6f4cc
04/06/2020 13:06,04/06/2020 13:11,IP Address,100,287,TRUE,04/06/2020 13:11,R_5gQgPyqVeKQIjgB,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ed7fc361b120911e3edebad,4,4,4,4,4,4,4,3,4,3,4,4,3,2,4,4,4,4,4,3,74,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,23,Prefer not to say,Yes,Yes,5ed7fc361b120911e3edebad
04/06/2020 13:06,04/06/2020 13:11,IP Address,100,311,TRUE,04/06/2020 13:11,R_2fIP02K1p7PkzaK,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5cd05a9f7729fd001ddeec86,2,1,3,2,4,2,1,2,4,3,3,3,1,3,2,3,3,3,3,3,51,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,1,1,1,1,1,1,1,1,8,4,0,25,Male,Yes,Yes,5cd05a9f7729fd001ddeec86
04/06/2020 13:06,04/06/2020 13:12,IP Address,100,353,TRUE,04/06/2020 13:12,R_1FEyXM946LuYYOs,anonymous,EN,Yes,Yes,Yes,Yes,Yes,58e3b3ec3985920001abcffb,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,£0.25,£0.50,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,0,1,0,1,1,0,1,0,0,5,2,1,58,Female,Yes,Yes,58e3b3ec3985920001abcffb
04/06/2020 13:06,04/06/2020 13:12,IP Address,100,322,TRUE,04/06/2020 13:12,R_31pg7nezwBHFQ7D,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5d33c9fbcb8e950001c30a9b,3,1,3,1,3,2,3,2,4,1,3,0,0,0,0,1,0,0,1,1,29,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Male,Yes,Yes,5d33c9fbcb8e950001c30a9b
04/06/2020 13:05,04/06/2020 13:12,IP Address,100,396,TRUE,04/06/2020 13:12,R_1BWc6mBdDIjh6OQ,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e7141caf3c2460575bd0e02,1,2,0,0,1,1,1,0,1,0,1,1,2,0,1,0,1,0,0,1,14,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,0,30,Female,Yes,No,5e7141caf3c2460575bd0e02
04/06/2020 13:08,04/06/2020 13:12,IP Address,100,234,TRUE,04/06/2020 13:12,R_2dLJDycIhky1trH,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e1c83bc110ee9000c7a2b9a,2,0,4,0,0,4,2,1,1,1,0,3,4,0,3,3,3,3,3,3,40,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,1,1,1,1,1,1,6,6,0,19,Female,No,No,5e1c83bc110ee9000c7a2b9a
04/06/2020 13:04,04/06/2020 13:12,IP Address,100,524,TRUE,04/06/2020 13:12,R_1dEnqqsg7redRw9,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5eb168a3c03c29253f361441,1,1,2,3,2,2,1,1,4,3,4,3,0,1,1,3,0,4,4,3,43,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,0,24,Male,Yes,Yes,5eb168a3c03c29253f361441
04/06/2020 13:09,04/06/2020 13:13,IP Address,100,264,TRUE,04/06/2020 13:13,R_erEaLs5xXnDcpQ5,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e8da7611baf780291d2b12d,2,0,1,2,1,2,1,2,1,1,2,2,0,2,1,1,0,2,1,1,25,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,1,1,1,1,1,1,1,1,1,1,1,11,1,0,27,Male,No,Yes,5e8da7611baf780291d2b12d
04/06/2020 13:09,04/06/2020 13:13,IP Address,100,220,TRUE,04/06/2020 13:13,R_3erTHGM3ukkFwOe,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5b9ce9e980ebc0000117f24d,1,0,1,0,1,0,0,1,2,0,2,1,0,1,1,1,0,1,1,1,15,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,0,21,Male,Yes,Yes,5b9ce9e980ebc0000117f24d
04/06/2020 13:01,04/06/2020 13:13,IP Address,100,746,TRUE,04/06/2020 13:13,R_3iU5YMm9GybLPqY,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e5cdb9f72c34d4b9b0efdc0,3,4,3,3,3,1,2,2,3,2,2,2,0,1,3,3,2,2,2,3,46,£0.50,,,£0.75,I get £0.55 if my partner also chooses Option B. But I will get £0.20 if I choose this option and my partner does not.,1,1,0,1,1,1,1,1,1,1,1,1,1,10,2,0,18,Female,No,No,5e5cdb9f72c34d4b9b0efdc0
04/06/2020 13:04,04/06/2020 13:13,IP Address,100,555,TRUE,04/06/2020 13:13,R_bDYcQd6aXJU33k5,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c2a4cf4f4c9ee00010230e9,3,2,2,1,2,2,1,3,3,1,3,2,3,3,2,2,3,2,2,2,44,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,0,22,Female,Yes,Yes,5c2a4cf4f4c9ee00010230e9
04/06/2020 13:08,04/06/2020 13:13,IP Address,100,295,TRUE,04/06/2020 13:13,R_2cqhi52RAB78HxL,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c87baccd7c01f001660dcd8,4,4,4,3,3,3,3,0,4,4,2,4,3,4,4,3,3,3,3,2,63,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Male,No,No,5c87baccd7c01f001660dcd8
04/06/2020 13:05,04/06/2020 13:13,IP Address,100,523,TRUE,04/06/2020 13:13,R_01xnwV1Izy8DzcR,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ed52bc14ec7cf083e5fc117,2,2,2,1,1,2,1,0,2,1,1,1,3,1,1,2,1,1,1,1,27,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,1,0,1,1,1,4,7,0,21,Female,Yes,No,5ed52bc14ec7cf083e5fc117
04/06/2020 13:08,04/06/2020 13:13,IP Address,100,337,TRUE,04/06/2020 13:13,R_22mFqGHUiP3qtWH,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5da4ae4811fc810015420a32,2,0,2,1,4,1,1,2,2,1,1,3,2,3,2,1,1,2,1,1,33,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,1,1,0,1,3,8,0,21,Male,Yes,Yes,5da4ae4811fc810015420a32
04/06/2020 13:05,04/06/2020 13:14,IP Address,100,500,TRUE,04/06/2020 13:14,R_3ssodheK4dqi3e9,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c1c4173ac3a86000146e65a,0,1,0,1,3,0,0,1,1,0,4,2,1,0,2,1,3,0,0,1,21,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,43,Male,Yes,Yes,5c1c4173ac3a86000146e65a
04/06/2020 13:08,04/06/2020 13:14,IP Address,100,332,TRUE,04/06/2020 13:14,R_3G8nhFn0ofd8Ozw,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e74c89f624838000a2d19a7,1,2,0,1,1,0,0,0,2,0,3,1,0,0,1,2,1,1,1,1,18,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,1,0,1,0,1,1,4,6,1,20,Male,Yes,Yes,5e74c89f624838000a2d19a7
04/06/2020 13:07,04/06/2020 13:14,IP Address,100,390,TRUE,04/06/2020 13:14,R_25Ml7DY5PHtAS44,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c8942ff42ff490015c7e32e,1,0,0,1,0,1,0,1,2,0,0,1,0,0,1,1,1,0,2,2,14,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,1,0,1,1,1,1,1,6,5,0,29,Male,Yes,Yes,5c8942ff42ff490015c7e32e
04/06/2020 13:05,04/06/2020 13:14,IP Address,100,519,TRUE,04/06/2020 13:14,R_9vFB0WSJZYhCVmp,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e39cf67f0bf0f1edec3357e,4,4,3,4,4,1,3,1,4,3,4,4,3,4,4,4,4,4,4,3,69,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,1,1,1,1,1,1,6,6,0,21,Female,Yes,Yes,5e39cf67f0bf0f1edec3357e
04/06/2020 13:10,04/06/2020 13:14,IP Address,100,254,TRUE,04/06/2020 13:14,R_1g0FqrCVWNVrWkJ,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e4528f3e7a9e1000d62396b,3,1,2,1,2,2,3,1,3,2,3,3,1,0,3,3,0,2,3,3,41,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,19,Female,Yes,Yes,5e4528f3e7a9e1000d62396b
04/06/2020 13:10,04/06/2020 13:14,IP Address,100,285,TRUE,04/06/2020 13:14,R_1Q49EWmrmhyJ2Vn,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c64059c9dcb0f0001d6cea2,2,3,1,1,0,1,0,0,2,1,3,3,0,3,3,1,1,2,1,2,30,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,1,1,1,1,1,1,6,6,0,37,Male,No,No,5c64059c9dcb0f0001d6cea2
04/06/2020 13:07,04/06/2020 13:14,IP Address,100,452,TRUE,04/06/2020 13:14,R_2dlSFZkxUpYPyey,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e8fae5ce5846e10450f1a3e,1,1,0,1,1,1,0,0,2,0,3,1,0,1,1,0,0,1,0,1,15,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,1,1,1,1,1,1,1,1,1,1,1,11,1,0,22,Male,Yes,Yes,5e8fae5ce5846e10450f1a3e
04/06/2020 13:10,04/06/2020 13:15,IP Address,100,306,TRUE,04/06/2020 13:15,R_r7HSkb0dt2omNTb,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5dfc822839bcde9801aac17c,3,2,3,3,3,2,3,4,2,2,3,4,2,1,3,3,4,1,3,2,53,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,1,1,1,3,9,0,30,Male,Yes,Yes,5dfc822839bcde9801aac17c
04/06/2020 13:06,04/06/2020 13:15,IP Address,100,533,TRUE,04/06/2020 13:15,R_1OV62hgMi58hdAJ,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c7e7970efcd55000105a686,1,2,2,0,3,0,0,1,1,0,1,1,0,1,0,1,0,0,0,3,17,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,28,Female,Yes,Yes,5c7e7970efcd55000105a686
04/06/2020 13:09,04/06/2020 13:15,IP Address,100,338,TRUE,04/06/2020 13:15,R_2Sp3PBfTwZlCIyC,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ab378d66db3e700011bd699,4,1,4,3,4,3,4,1,3,4,4,3,1,4,4,4,4,3,3,4,65,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,1,0,1,1,1,1,1,1,1,1,1,10,1,0,25,Female,Yes,No,5ab378d66db3e700011bd699
04/06/2020 13:10,04/06/2020 13:15,IP Address,100,275,TRUE,04/06/2020 13:15,R_1i9wm0dvlF0d3Gl,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5aead02c78b0060001e6b394,4,3,3,2,4,2,1,1,3,3,4,4,4,3,4,4,4,3,3,3,62,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,1,0,1,1,1,1,1,6,5,0,26,Female,Yes,No,5aead02c78b0060001e6b394
04/06/2020 13:13,04/06/2020 13:15,IP Address,100,103,TRUE,04/06/2020 13:15,R_1SbAHU1tTTyjFZv,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e4c144b7e9dfa069f97e298,3,2,2,2,2,2,2,2,1,3,2,3,2,2,2,2,2,3,3,3,45,£1.00,£0.25,1,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,1,1,1,0,1,0,0,0,1,1,1,1,7,1,1,29,Male,Yes,Yes,5e4c144b7e9dfa069f97e298
04/06/2020 13:09,04/06/2020 13:15,IP Address,100,334,TRUE,04/06/2020 13:15,R_31B2Ym6r3Z5KNzy,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ce7fdbd1a9c5000178e75e5,4,3,4,3,4,4,3,2,4,3,3,4,1,1,4,4,4,4,4,4,67,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Female,Yes,Yes,5ce7fdbd1a9c5000178e75e5
04/06/2020 13:05,04/06/2020 13:15,IP Address,100,624,TRUE,04/06/2020 13:15,R_yU92CDSJpqTazu1,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5ec67dab01c3da05a5a13529,2,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,2,10,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,1,0,1,0,1,1,1,1,6,4,1,23,Female,Yes,Yes,5ec67dab01c3da05a5a13529
04/06/2020 13:10,04/06/2020 13:15,IP Address,100,311,TRUE,04/06/2020 13:15,R_2ZBv8TskfnZH4ck,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5baf689c51dfa8000130f19f,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,2,1,1,2,0,16,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,1,1,1,1,1,1,1,1,1,1,1,11,1,0,30,Male,Yes,Yes,5baf689c51dfa8000130f19f
04/06/2020 13:13,04/06/2020 13:15,IP Address,100,163,TRUE,04/06/2020 13:15,R_3JfIgleGj8c4VqD,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5eba6f5e10e3631baf94461b,2,3,2,3,2,3,3,3,2,1,2,2,4,1,3,2,2,3,2,2,47,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,1,0,1,1,1,1,1,1,1,1,1,10,1,0,21,Male,No,No,5eba6f5e10e3631baf94461b
04/06/2020 13:11,04/06/2020 13:15,IP Address,100,231,TRUE,04/06/2020 13:15,R_25WNaOzKF3O2YOe,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5e907551265410377d898222,2,1,1,1,3,2,1,2,2,0,1,2,1,0,2,2,2,2,1,2,30,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,0,24,Female,Yes,No,5e907551265410377d898222
04/06/2020 13:10,04/06/2020 13:15,IP Address,100,330,TRUE,04/06/2020 13:15,R_2CwaMaGoEzmnklO,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5eaabfbb35234c02953c5aca,2,3,3,2,1,3,2,3,2,3,1,3,2,3,3,1,0,2,3,2,44,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Male,Yes,Yes,5eaabfbb35234c02953c5aca
04/06/2020 13:11,04/06/2020 13:16,IP Address,100,286,TRUE,04/06/2020 13:16,R_dmMD6RrHb7m5F4Z,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5c3a4af7d1d0f9000166aca3,1,1,1,1,2,0,2,0,4,1,4,0,4,3,4,4,2,3,4,3,44,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,Female,Yes,Yes,5c3a4af7d1d0f9000166aca3
04/06/2020 13:06,04/06/2020 13:16,IP Address,100,542,TRUE,04/06/2020 13:16,R_1RABKgLUEGyyB0d,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5d7e515b0cdaca001673fc44,2,1,1,2,1,2,2,0,2,1,1,2,3,2,2,3,2,1,2,3,35,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,0,22,Male,Yes,Yes,5d7e515b0cdaca001673fc44
04/06/2020 13:08,04/06/2020 13:16,IP Address,100,475,TRUE,04/06/2020 13:16,R_3foR08vb9ff633n,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5aa18dc7dbdb470001ef2d72,1,2,3,1,3,1,2,1,4,1,1,1,0,3,1,1,0,1,0,2,29,£0.50,,,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,0,31,Female,Yes,Yes,5aa18dc7dbdb470001ef2d72
